metric,Rank,method
nr,1,original
ndpv,2,original
cam,3,original
cbo,4,original
ca,5,original
dam,6,original
lcom3,7,original
avg.cc.,7,original
lcom,7,original
amc,7,original
noc,7,original
mfa,7,original
npm,8,original
cbm,9,original
moa,10,original
nr,1,remove
ndpv,2,remove
cam,3,remove
cbo,4,remove
ca,5,remove
dam,6,remove
lcom3,7,remove
avg.cc.,7,remove
lcom,7,remove
amc,7,remove
noc,7,remove
mfa,7,remove
npm,8,remove
cbm,9,remove
moa,10,remove
nr,1,separating
ndpv,2,separating
cam,3,separating
cbo,4,separating
ca,5,separating
dam,6,separating
lcom3,7,separating
avg.cc.,7,separating
lcom,7,separating
amc,7,separating
noc,7,separating
mfa,7,separating
npm,8,separating
cbm,9,separating
moa,10,separating
