metric,Rank,method
ndpv,1,original
ndc,2,original
lcom3,3,original
ce,3,original
cam,4,original
avg.cc.,5,original
ic,5,original
mfa,5,original
dam,5,original
npm,5,original
amc,5,original
lcom,6,original
ca,6,original
noc,7,original
moa,8,original
ndpv,1,remove
ndc,2,remove
ce,3,remove
lcom3,4,remove
cam,5,remove
dam,5,remove
amc,6,remove
mfa,6,remove
avg.cc.,6,remove
ic,6,remove
npm,7,remove
ca,8,remove
lcom,8,remove
moa,9,remove
noc,9,remove
ndpv,1,separating
ce,2,separating
lcom,3,separating
ca,4,separating
npm,4,separating
lcom3,4,separating
dam,5,separating
ndc,5,separating
moa,6,separating
mfa,7,separating
amc,7,separating
noc,7,separating
avg.cc.,8,separating
ic,8,separating
cam,8,separating
